sample	accession	title	internal_id	cell_type	source	patient	day	replicate	bio_id
ICHSeqBatch5redo_C03	GSM4975935	CD14+ monos/macs from blood of ICH patient number 2215 on day 2 of study - replicate 1	ICHSeqBatch5redo_C03	Monocyte	ICHBlood	2215	2	1	Monocyte|ICHBlood|2215|2
ICHSeqBatch5redo_D10	GSM4975773	CD14+ monos/macs from hematoma of ICH patient number 2375 on day 3 of study - replicate 2	ICHSeqBatch5redo_D10	Monocyte	Hematoma	2375	3	2	Monocyte|Hematoma|2375|3
ICHSeqBatch5redo_D11	GSM4975776	CD14+ monos/macs from hematoma of ICH patient number 2375 on day 4 of study - replicate 2	ICHSeqBatch5redo_D11	Monocyte	Hematoma	2375	4	2	Monocyte|Hematoma|2375|4
ICHSeqBatch5redo_D04	GSM4975765	CD14+ monos/macs from hematoma of ICH patient number 2375 on day 1 of study - replicate 1	ICHSeqBatch5redo_D04	Monocyte	Hematoma	2375	1	1	Monocyte|Hematoma|2375|1
ICHSeqBatch5redo_C08	GSM4975934	CD14+ monos/macs from hematoma of ICH patient number 2215 on day 1 of study - replicate 1	ICHSeqBatch5redo_C08	Monocyte	Hematoma	2215	1	1	Monocyte|Hematoma|2215|1
ICHSeqBatch5redo_C12	GSM4975944	CD14+ monos/macs from hematoma of ICH patient number 2215 on day 5 of study - replicate 1	ICHSeqBatch5redo_C12	Monocyte	Hematoma	2215	5	1	Monocyte|Hematoma|2215|5
ICHSeqBatch5redo_B05	GSM4975920	CD14+ monos/macs from blood of ICH patient number 2385 on day 4 of study - replicate 1	ICHSeqBatch5redo_B05	Monocyte	ICHBlood	2385	4	1	Monocyte|ICHBlood|2385|4
ICHSeqBatch5redo_D06	GSM4975772	CD14+ monos/macs from hematoma of ICH patient number 2375 on day 3 of study - replicate 1	ICHSeqBatch5redo_D06	Monocyte	Hematoma	2375	3	1	Monocyte|Hematoma|2375|3
ICHSeqBatch5redo_D02	GSM4975942	CD14+ monos/macs from hematoma of ICH patient number 2215 on day 4 of study - replicate 2	ICHSeqBatch5redo_D02	Monocyte	Hematoma	2215	4	2	Monocyte|Hematoma|2215|4
ICHSeqBatch5redo_B07	GSM4975912	CD14+ monos/macs from hematoma of ICH patient number 2385 on day 1 of study - replicate 1	ICHSeqBatch5redo_B07	Monocyte	Hematoma	2385	1	1	Monocyte|Hematoma|2385|1
ICHSeqBatch5redo_B03	GSM4975913	CD14+ monos/macs from blood of ICH patient number 2385 on day 2 of study - replicate 1	ICHSeqBatch5redo_B03	Monocyte	ICHBlood	2385	2	1	Monocyte|ICHBlood|2385|2
ICHSeqBatch5redo_A12	GSM4975815	CD14+ monos/macs from hematoma of ICH patient number 2379 on day 5 of study - replicate 1	ICHSeqBatch5redo_A12	Monocyte	Hematoma	2379	5	1	Monocyte|Hematoma|2379|5
ICHSeqBatch5redo_C11	GSM4975941	CD14+ monos/macs from hematoma of ICH patient number 2215 on day 4 of study - replicate 1	ICHSeqBatch5redo_C11	Monocyte	Hematoma	2215	4	1	Monocyte|Hematoma|2215|4
ICHSeqBatch5redo_D07	GSM4975775	CD14+ monos/macs from hematoma of ICH patient number 2375 on day 4 of study - replicate 1	ICHSeqBatch5redo_D07	Monocyte	Hematoma	2375	4	1	Monocyte|Hematoma|2375|4
ICHSeqBatch5redo_C09	GSM4975936	CD14+ monos/macs from hematoma of ICH patient number 2215 on day 2 of study - replicate 1	ICHSeqBatch5redo_C09	Monocyte	Hematoma	2215	2	1	Monocyte|Hematoma|2215|2
ICHSeqBatch5redo_B11	GSM4975919	CD14+ monos/macs from hematoma of ICH patient number 2385 on day 3 of study - replicate 2	ICHSeqBatch5redo_B11	Monocyte	Hematoma	2385	3	2	Monocyte|Hematoma|2385|3
ICHSeqBatch5redo_E02	GSM4975774	CD14+ monos/macs from blood of ICH patient number 2375 on day 4 of study - replicate 1	ICHSeqBatch5redo_E02	Monocyte	ICHBlood	2375	4	1	Monocyte|ICHBlood|2375|4
ICHSeqBatch5redo_B10	GSM4975918	CD14+ monos/macs from hematoma of ICH patient number 2385 on day 3 of study - replicate 1	ICHSeqBatch5redo_B10	Monocyte	Hematoma	2385	3	1	Monocyte|Hematoma|2385|3
ICHSeqBatch5redo_D09	GSM4975769	CD14+ monos/macs from hematoma of ICH patient number 2375 on day 2 of study - replicate 2	ICHSeqBatch5redo_D09	Monocyte	Hematoma	2375	2	2	Monocyte|Hematoma|2375|2
ICHSeqBatch5redo_A03	GSM4975809	CD14+ monos/macs from blood of ICH patient number 2379 on day 3 of study - replicate 1	ICHSeqBatch5redo_A03	Monocyte	ICHBlood	2379	3	1	Monocyte|ICHBlood|2379|3
ICHSeqBatch5redo_C06	GSM4975943	CD14+ monos/macs from blood of ICH patient number 2215 on day 5 of study - replicate 1	ICHSeqBatch5redo_C06	Monocyte	ICHBlood	2215	5	1	Monocyte|ICHBlood|2215|5
ICHSeqBatch5redo_C04	GSM4975937	CD14+ monos/macs from blood of ICH patient number 2215 on day 3 of study - replicate 1	ICHSeqBatch5redo_C04	Monocyte	ICHBlood	2215	3	1	Monocyte|ICHBlood|2215|3
ICHSeqBatch5redo_D05	GSM4975768	CD14+ monos/macs from hematoma of ICH patient number 2375 on day 2 of study - replicate 1	ICHSeqBatch5redo_D05	Monocyte	Hematoma	2375	2	1	Monocyte|Hematoma|2375|2
ICHSeqBatch5redo_B06	GSM4975917	CD14+ monos/macs from blood of ICH patient number 2385 on day 3 of study - replicate 2	ICHSeqBatch5redo_B06	Monocyte	ICHBlood	2385	3	2	Monocyte|ICHBlood|2385|3
ICHSeqBatch5redo_A10	GSM4975812	CD14+ monos/macs from hematoma of ICH patient number 2379 on day 4 of study - replicate 1	ICHSeqBatch5redo_A10	Monocyte	Hematoma	2379	4	1	Monocyte|Hematoma|2379|4
ICHSeqBatch5redo_C02	GSM4975933	CD14+ monos/macs from blood of ICH patient number 2215 on day 1 of study - replicate 1	ICHSeqBatch5redo_C02	Monocyte	ICHBlood	2215	1	1	Monocyte|ICHBlood|2215|1
ICHSeqBatch5redo_E04	GSM4975771	CD14+ monos/macs from blood of ICH patient number 2375 on day 3 of study - replicate 2	ICHSeqBatch5redo_E04	Monocyte	ICHBlood	2375	3	2	Monocyte|ICHBlood|2375|3
ICHSeqBatch5redo_D08	GSM4975766	CD14+ monos/macs from hematoma of ICH patient number 2375 on day 1 of study - replicate 2	ICHSeqBatch5redo_D08	Monocyte	Hematoma	2375	1	2	Monocyte|Hematoma|2375|1
ICHSeqBatch5redo_B04	GSM4975916	CD14+ monos/macs from blood of ICH patient number 2385 on day 3 of study - replicate 1	ICHSeqBatch5redo_B04	Monocyte	ICHBlood	2385	3	1	Monocyte|ICHBlood|2385|3
ICHSeqBatch5redo_A02	GSM4975807	CD14+ monos/macs from blood of ICH patient number 2379 on day 2 of study - replicate 1	ICHSeqBatch5redo_A02	Monocyte	ICHBlood	2379	2	1	Monocyte|ICHBlood|2379|2
ICHSeqBatch5redo_B09	GSM4975915	CD14+ monos/macs from hematoma of ICH patient number 2385 on day 2 of study - replicate 2	ICHSeqBatch5redo_B09	Monocyte	Hematoma	2385	2	2	Monocyte|Hematoma|2385|2
ICHSeqBatch5redo_B12	GSM4975921	CD14+ monos/macs from hematoma of ICH patient number 2385 on day 4 of study - replicate 1	ICHSeqBatch5redo_B12	Monocyte	Hematoma	2385	4	1	Monocyte|Hematoma|2385|4
ICHSeqBatch5redo_E03	GSM4975777	CD14+ monos/macs from blood of ICH patient number 2375 on day 5 of study - replicate 1	ICHSeqBatch5redo_E03	Monocyte	ICHBlood	2375	5	1	Monocyte|ICHBlood|2375|5
ICHSeqBatch5redo_E01	GSM4975770	CD14+ monos/macs from blood of ICH patient number 2375 on day 3 of study - replicate 1	ICHSeqBatch5redo_E01	Monocyte	ICHBlood	2375	3	1	Monocyte|ICHBlood|2375|3
ICHSeqBatch5redo_D12	GSM4975767	CD14+ monos/macs from blood of ICH patient number 2375 on day 2 of study - replicate 1	ICHSeqBatch5redo_D12	Monocyte	ICHBlood	2375	2	1	Monocyte|ICHBlood|2375|2
