sample	group	hour	cell_type	TLR4	STAT3	HMOX1	NLRP3
GSM8255340	0-6h	2	Erythroid	0.0284063238124531	1.44750168176728	0.0506507082845373	0.0103717706769466
GSM8255342	0-6h	2	Erythroid	0.0116677408544385	1.14811641926818	0.150152185081994	0.0297309465930525
GSM8255341	0-6h	3	Erythroid	0.0478258684616227	0.925051717898876	0.0535896219429698	0.0237550569410914
GSM8255343	6-24h	12	Erythroid	0.0398416053149225	1.14639447386365	0.0752044886224868	0.00659352579286681
GSM8255344	6-24h	12	Erythroid	0.0684745166580973	1.15941302893586	0.116133262259382	0.186557672443098
GSM8255345	6-24h	12	Erythroid	0.0245939728195631	1.20747961730609	0.0532142111450739	0.0151188694162577
GSM8255346	24-48h	26	Erythroid	0.0692561188392496	1.04910718507098	0.183460882964026	0.0453517786202424
GSM8255347	24-48h	28	Erythroid	0.0304605433073854	1.39589939851941	0.189585083780601	0.0352630753459116
GSM8255348	24-48h	32	Erythroid	0.0691051973549345	0.902940141525922	0.0481898277506914	0.030823867546685
GSM8255340	0-6h	2	Microglia/macrophage	0.523558110229765	1.17192746047019	0.506977014682937	0.364981432251337
GSM8255342	0-6h	2	Microglia/macrophage	0.350663290973337	0.89359497955906	1.90516276657613	0.886826695272347
GSM8255341	0-6h	3	Microglia/macrophage	0.583918829859082	0.780895557422218	0.907864692733551	0.319622332130551
GSM8255343	6-24h	12	Microglia/macrophage	0.619795775175568	0.988492709187836	1.14769379779926	0.194939212565099
GSM8255344	6-24h	12	Microglia/macrophage	0.0962703501318276	0.595681506620126	0.488045068243359	0.38374334155393
GSM8255345	6-24h	12	Microglia/macrophage	0.460823253526005	1.11143953953448	0.853629925152922	0.332886578683808
GSM8255346	24-48h	26	Microglia/macrophage	0.205761996457109	0.4111180990403	1.50930571808477	0.140754609065477
GSM8255347	24-48h	28	Microglia/macrophage	0.473307586380372	0.769555260657666	1.12677027358785	0.165752083820252
GSM8255348	24-48h	32	Microglia/macrophage	0.45862567906614	1.00769581557853	1.0551562419874	0.381604496772924
GSM8255340	0-6h	2	Monocyte	0.0263119173019087	1.48199992932035	0.0311861324051546	0.00485775284304078
GSM8255342	0-6h	2	Monocyte	0	1.05571715165513	0.129541987824813	0.0263643827714564
GSM8255341	0-6h	3	Monocyte	0.0981435764891316	0.834703132957209	0.030288188879675	0.0035411982348258
GSM8255343	6-24h	12	Monocyte	0.113483663852974	0.845403814674852	0.0314207214516191	0.00271740371017329
GSM8255344	6-24h	12	Monocyte	0.0188686440724886	0.988498238442133	0.0438956379884772	0.00906839892425081
GSM8255345	6-24h	12	Monocyte	0.0112645009320592	1.30232250779746	0.0502077106213704	0.0047554104448474
GSM8255346	24-48h	26	Monocyte	0.0916150741987454	1.29859475804704	0.117233264926798	0
GSM8255347	24-48h	28	Monocyte	0	0.921682631120018	0.152076066034412	0
GSM8255348	24-48h	32	Monocyte	0.117700079405861	0.874495176886535	0.0511995061797532	0.00403131000226792
GSM8255340	0-6h	2	Neutrophil	0.480260350502394	1.48793000968222	0.0982971373720169	0.241306757349399
GSM8255342	0-6h	2	Neutrophil	0.717249244321282	1.87769648630157	0.172362423576129	0.259262214872416
GSM8255341	0-6h	3	Neutrophil	0.524151014228171	1.58717875862175	0.1234418621206	0.413773705371796
GSM8255343	6-24h	12	Neutrophil	0.311772803882894	1.25511019281079	0.422162666043838	0.450237037176189
GSM8255344	6-24h	12	Neutrophil	0.651756063506487	2.21539091884705	0.0646977866191281	0.456726426862231
GSM8255345	6-24h	12	Neutrophil	0.270305872261014	1.25629374509263	0.247011198664713	0.294453914507827
GSM8255346	24-48h	26	Neutrophil	0.67705905022199	1.69975071747067	0.557781063767325	0.579475235748625
GSM8255347	24-48h	28	Neutrophil	0.586147207900424	1.93141962590712	0.254483464729835	0.430515870502257
GSM8255348	24-48h	32	Neutrophil	0.370976495043172	1.08943343062625	0.349385938616117	0.326703810195014
