sample	cell_type	proportion	group	hour	replicate
GSM8255340	Erythroid	0.169060513303508	0-6h	2	1
GSM8255340	Neutrophil	0.122203908641394	0-6h	2	1
GSM8255340	Monocyte	0.404991758888627	0-6h	2	1
GSM8255340	Microglia/macrophage	0.303743819166471	0-6h	2	1
GSM8255341	Neutrophil	0.0322640805669526	0-6h	3	2
GSM8255341	Monocyte	0.392763894069377	0-6h	3	2
GSM8255341	Microglia/macrophage	0.407124207385304	0-6h	3	2
GSM8255341	Erythroid	0.167847817978366	0-6h	3	2
GSM8255342	Neutrophil	0.334473324213406	0-6h	2	3
GSM8255342	Monocyte	0.0225718194254446	0-6h	2	3
GSM8255342	Microglia/macrophage	0.163246694026448	0-6h	2	3
GSM8255342	Erythroid	0.479708162334701	0-6h	2	3
GSM8255343	Neutrophil	0.0366422385076616	6-24h	12	1
GSM8255343	Monocyte	0.320008882966911	6-24h	12	1
GSM8255343	Microglia/macrophage	0.430601821008217	6-24h	12	1
GSM8255343	Erythroid	0.212747057517211	6-24h	12	1
GSM8255344	Microglia/macrophage	0.0297044408139017	6-24h	12	2
GSM8255344	Erythroid	0.74335363136789	6-24h	12	2
GSM8255344	Neutrophil	0.218624684390316	6-24h	12	2
GSM8255344	Monocyte	0.00831724342789247	6-24h	12	2
GSM8255345	Neutrophil	0.0340314136125654	6-24h	12	3
GSM8255345	Monocyte	0.578347045624533	6-24h	12	3
GSM8255345	Microglia/macrophage	0.297307404637248	6-24h	12	3
GSM8255345	Erythroid	0.0903141361256544	6-24h	12	3
GSM8255346	Neutrophil	0.3487358326068	24-48h	26	1
GSM8255346	Monocyte	0.015693112467306	24-48h	26	1
GSM8255346	Microglia/macrophage	0.129904097646033	24-48h	26	1
GSM8255346	Erythroid	0.505666957279861	24-48h	26	1
GSM8255347	Neutrophil	0.645610625202462	24-48h	28	2
GSM8255347	Monocyte	0.0103660511823777	24-48h	28	2
GSM8255347	Microglia/macrophage	0.0689990281827017	24-48h	28	2
GSM8255347	Erythroid	0.275024295432459	24-48h	28	2
GSM8255348	Monocyte	0.438432040903281	24-48h	32	3
GSM8255348	Microglia/macrophage	0.429910524073285	24-48h	32	3
GSM8255348	Erythroid	0.111205794631444	24-48h	32	3
GSM8255348	Neutrophil	0.0204516403919898	24-48h	32	3
