nsnp	PP.H0	PP.H1	PP.H2	PP.H3	PP.H4	top_shared_snp	top_shared_position_hg38	p12	note	gene	shared_given_associated
1877	0.809247798787045	0.11362961300719	0.0671309132886465	0.00942039838286391	0.000571276534254644	rs543187749	248256667	0.000001	Approximate-Bayes-factor colocalisation	NLRP3	0.0571752522968783
1877	0.805108343250759	0.113048376046949	0.0667875259713314	0.00937221126354346	0.00568354346741728	rs543187749	248256667	0.00001	Approximate-Bayes-factor colocalisation	NLRP3	0.377499738072221
1877	0.765929595889771	0.10754713661521	0.0635374644996901	0.00891613414002791	0.0540696688553012	rs543187749	248256667	0.0001	Approximate-Bayes-factor colocalisation	NLRP3	0.858442161312302
3115	0.000000000000000000000000000000000000000000000931536027142643	0.860947869224362	0.000000000000000000000000000000000000000000000149208377661503	0.137890332207411	0.00116179856822083	rs11789302	117697248	0.000001	Approximate-Bayes-factor colocalisation	TLR4	0.00835512955997384
3115	0.00000000000000000000000000000000000000000000092189650478885	0.85203879218491	0.000000000000000000000000000000000000000000000147664371364449	0.136463444893387	0.0114977629217068	rs11789302	117697248	0.00001	Approximate-Bayes-factor colocalisation	TLR4	0.0777079552910615
3115	0.000000000000000000000000000000000000000000000835444789657894	0.772138050008471	0.000000000000000000000000000000000000000000000133817005524706	0.123666456508651	0.104195493482879	rs11789302	117697248	0.0001	Approximate-Bayes-factor colocalisation	TLR4	0.457274650229019
0	NA	NA	NA	NA	NA	NA	NA	0.000001	Insufficient matched variants (<50)	STAT3	NA
0	NA	NA	NA	NA	NA	NA	NA	0.00001	Insufficient matched variants (<50)	STAT3	NA
0	NA	NA	NA	NA	NA	NA	NA	0.0001	Insufficient matched variants (<50)	STAT3	NA
0	NA	NA	NA	NA	NA	NA	NA	0.000001	Insufficient matched variants (<50)	HMOX1	NA
0	NA	NA	NA	NA	NA	NA	NA	0.00001	Insufficient matched variants (<50)	HMOX1	NA
0	NA	NA	NA	NA	NA	NA	NA	0.0001	Insufficient matched variants (<50)	HMOX1	NA
