gene	logFC_discovery	FDR_discovery	logFC_validation	FDR_validation	concordant	max_FDR_across_cohorts
A1BG	0.18888317416047	0.782602256285612	-0.266215664347744	0.0835887457943831	FALSE	0.782602256285612
A1BG-AS1	-0.0867656019185654	0.844352802796055	-0.502868979119157	0.0128797295353954	TRUE	0.844352802796055
A2M	1.15467409462433	0.474175368212382	3.34586828743492	0.00000000000000000000400123927005379	TRUE	0.474175368212382
AAAS	-0.0445170793831142	0.961154527761355	-1.05372142493184	0.000000113333720951421	TRUE	0.961154527761355
AACS	-1.03392440529571	0.512823853412742	-0.463121527197469	0.0685644313577632	TRUE	0.512823853412742
AAGAB	-0.161516562852728	0.913241253730214	0.135163973669854	0.400645726990117	FALSE	0.913241253730214
AAK1	-0.832324920010416	0.890637019465295	0.399687514093746	0.00000000332648182728882	FALSE	0.890637019465295
AAMDC	0.155137991071691	0.935845201199328	-1.35670614179181	0.000000000384136955293089	FALSE	0.935845201199328
AAMP	-0.000526854048167991	0.999723765516602	-0.237446277271277	0.0498305030957251	TRUE	0.999723765516602
AAR2	-0.255738216089779	0.782265559753565	-0.091899581131492	0.572423204975259	TRUE	0.782265559753565
AARS2	-0.18029851046748	0.860199322421757	-0.246788057229628	0.116119900639578	TRUE	0.860199322421757
AARSD1	-0.0699547753274823	0.962371685993772	-0.162602179043191	0.172850464241694	TRUE	0.962371685993772
AASDH	-0.598682120466854	0.500812528315024	-1.20760850168655	0.000000362800982714198	TRUE	0.500812528315024
AASDHPPT	-0.587904444203149	0.708161161701772	-0.464692332622655	0.00198676879185265	TRUE	0.708161161701772
AASS	0.34709407710736	0.828354772572532	-0.0349395057567212	0.891829142363877	FALSE	0.891829142363877
AATF	0.647618963730093	0.399519441447238	0.103900194824832	0.138918854799188	TRUE	0.399519441447238
AATK	-0.357235190974767	0.723268325210053	-0.0854991954640033	0.676014386628644	TRUE	0.723268325210053
ABAT	-1.05539892932801	0.592236540084962	-1.8292788491762	0.0000000000000205430821351467	TRUE	0.592236540084962
ABCA1	1.37663125939639	0.445416397453991	1.81038909986095	0.00000000000000000000000000000399646514353243	TRUE	0.445416397453991
ABCA11P	-0.148919419474431	0.883830946666306	-0.498745463073736	0.0291393495041232	TRUE	0.883830946666306
ABCA13	0.135498761053724	0.677425311486132	-0.069851954857215	0.766864054926573	FALSE	0.766864054926573
ABCA2	-0.212209201501917	0.933306813845871	-2.01870721606115	0.000000000000000191762450747876	TRUE	0.933306813845871
ABCA5	-0.050602258065056	0.975249661159457	-0.645861678428402	0.0400717660131443	TRUE	0.975249661159457
ABCA7	0.0330862471428199	0.981913590427893	-1.56551640293395	0.0000000000000000000000050095410444251	FALSE	0.981913590427893
ABCA9	0.0186683974015684	0.994442253230694	0.228395390255629	0.08996111450906	TRUE	0.994442253230694
ABCB10	-0.787291332706131	0.452797746312401	-1.08930968692578	0.000000206549064372497	TRUE	0.452797746312401
ABCB5	-0.100361595662935	0.806887229083421	0.336370759343425	0.0478307411539651	FALSE	0.806887229083421
ABCB6	-0.422448316851959	0.608643451191876	-0.321290826931821	0.382559827656035	TRUE	0.608643451191876
ABCB7	0.437356911770588	0.699655934750867	-0.63794488377506	0.00144504031530951	FALSE	0.699655934750867
ABCB8	-0.178156518467535	0.787185754222762	-0.651091234418241	0.0010290577026597	TRUE	0.787185754222762
ABCC1	0.173787512032305	0.873687760159724	0.505278211486141	0.0354813862199332	TRUE	0.873687760159724
ABCC10	-0.313112476046795	0.690241406899706	-1.53047667804433	0.000000000109882004266948	TRUE	0.690241406899706
ABCC2	-0.00289722854874164	0.997384809114884	-0.280555425795586	0.403272939466061	TRUE	0.997384809114884
ABCC3	0.291044739096868	0.626527891717959	0.720165306165512	0.00000000229264144496941	TRUE	0.626527891717959
ABCC4	0.255392467047983	0.875693440677767	-0.674874101089122	0.00247085954268129	FALSE	0.875693440677767
ABCC5	-0.926874776651093	0.610520020697172	-2.45202107528888	0.00000000000000000000000543498742947877	TRUE	0.610520020697172
ABCC6	0.243066928501002	0.945503705902428	-2.6562191206349	0.000000000000000000000799146627835836	FALSE	0.945503705902428
ABCC9	-0.912898070249159	0.348460807372189	0.494945902364023	0.000000557512829606054	FALSE	0.348460807372189
ABCD1	0.0318768340693607	0.967180415346707	0.0646892971270479	0.692812418783661	TRUE	0.967180415346707
ABCD3	-0.280979529759083	0.716612863042792	-0.610320129034633	0.0123301880858107	TRUE	0.716612863042792
ABCD4	-0.373214210256181	0.798722261269212	-0.939920758515166	0.000000839640485536538	TRUE	0.798722261269212
ABCE1	0.632970408586338	0.579701717417794	0.345925665830354	0.0159588930927907	TRUE	0.579701717417794
ABCF1	0.446983693261225	0.503856916605382	0.857268837825444	0.0000000000221491379448264	TRUE	0.503856916605382
ABCF2	-0.7638488848798	0.447677755432588	-0.571129028647375	0.00000835810607548559	TRUE	0.447677755432588
ABCF3	-0.142912490168945	0.86187496715694	0.892113310036333	0.00000000393287319645369	FALSE	0.86187496715694
ABCG1	-2.10709164089264	0.274501135716871	1.53897775043181	0.00000000099908191557295	FALSE	0.274501135716871
ABHD10	0.322689302712875	0.833231199579561	-1.1583176768561	0.0000000145554126982096	FALSE	0.833231199579561
ABHD11	0.147207284823338	0.849120246643541	-0.0125967628833465	0.909224459650388	FALSE	0.909224459650388
ABHD12	0.388082730461833	0.750899810372201	0.965148216737232	0.00000649727857894726	TRUE	0.750899810372201
ABHD12B	0.479497814201541	0.802544891764964	-1.59803728871372	0.0000000000000354086034506324	FALSE	0.802544891764964
ABHD13	-1.04142555912928	0.391281985720674	-0.347009026957913	0.0123290351217402	TRUE	0.391281985720674
ABHD14A	-0.732042561310833	0.518430253635683	-0.978150742471277	0.0000000304659364248199	TRUE	0.518430253635683
ABHD14B	0.134971523321966	0.82966950673865	-0.258167164547795	0.0107624480522424	FALSE	0.82966950673865
ABHD15	0.0843613069905529	0.937425857858437	-0.217441554751017	0.273301411189618	FALSE	0.937425857858437
ABHD16A	0.0692070203079238	0.951216131109405	0.459717427899367	0.00000000482461121099055	TRUE	0.951216131109405
ABHD16B	0.135827132540873	0.762784141909833	1.17972462403843	0.0000000934570428871566	TRUE	0.762784141909833
ABHD2	-0.403578228380426	0.854122160460783	0.135848923114228	0.144173898269262	FALSE	0.854122160460783
ABHD3	0.449374342491301	0.70442736817667	-1.31847763368663	0.00000000000000000000000000000362774831191849	FALSE	0.70442736817667
ABHD4	-0.100526784154317	0.861342272090703	-0.316639356951471	0.0163332121274887	TRUE	0.861342272090703
ABHD5	0.725752468695944	0.584519378822809	-0.463644826826827	0.000431080069936832	FALSE	0.584519378822809
ABHD6	0.0628442588841534	0.968202896913846	0.144173990595202	0.514010685557796	TRUE	0.968202896913846
ABHD8	-0.2981132143462	0.711434677328215	0.246960868806811	0.335779175903826	FALSE	0.711434677328215
ABI1	1.1399697936927	0.552113715177488	0.16550063688988	0.00274531980309245	TRUE	0.552113715177488
ABI2	-0.287225755335419	0.802387999923048	1.28958442938023	0.000000000000000000000532455031002105	FALSE	0.802387999923048
ABI3	0.160955443056911	0.787392625352338	-2.19432237785443	0.0000000000000000000000000757039933605747	FALSE	0.787392625352338
ABL1	-0.0654333511503804	0.970935279415193	0.235936256216788	0.319211839355329	FALSE	0.970935279415193
ABL2	-0.608330548282782	0.304983764430105	1.12005573048018	0.00000000000000000951190993387746	FALSE	0.304983764430105
ABLIM3	-0.0620272748720332	0.960212668374474	1.59274593672801	0.00000000108726551878658	FALSE	0.960212668374474
ABR	-0.557089031561637	0.783021791982804	-0.453045145378774	0.000000125830914350627	TRUE	0.783021791982804
ABRACL	0.442099333527223	0.885251645703505	-0.120027031541404	0.205247375779415	FALSE	0.885251645703505
ABT1	0.0302536974395817	0.973103173062906	0.504960263040958	0.00000424532713721886	TRUE	0.973103173062906
ABTB1	-0.152590333519332	0.927977131743132	-1.27277230513251	0.0000000000000000000000000000000000000000000000000000072094554644212	TRUE	0.927977131743132
ABTB2	0.519333505031196	0.783761402009982	1.09651116992044	0.000778735333863642	TRUE	0.783761402009982
ACAA1	0.281539875743244	0.749650919974773	-0.414041896205772	0.00000000607399718489483	FALSE	0.749650919974773
ACAA2	0.394444502448813	0.64103364906267	0.266154411579966	0.0505288273199257	TRUE	0.64103364906267
ACACA	-0.391312529832118	0.717241414733126	-0.0951714810744995	0.595401188388889	TRUE	0.717241414733126
ACACB	-1.36468246408217	0.600975401609786	-1.08606295105436	0.00000547910303423364	TRUE	0.600975401609786
ACAD10	-0.14163468036172	0.844706416204064	-1.38288082037291	0.00000000622191567726617	TRUE	0.844706416204064
ACAD11	0.235824309280976	0.880533261786198	-0.233063625702171	0.321074889719547	FALSE	0.880533261786198
ACAD8	-0.158864662311099	0.855921838813349	-1.74451519775266	0.0000000000144245481433955	TRUE	0.855921838813349
ACAD9	-0.0945222701862587	0.941656225278617	-0.434334284923588	0.0329022018121537	TRUE	0.941656225278617
ACADM	0.261447234304756	0.753771548415364	-1.16938626920289	0.0000000000570393084272847	FALSE	0.753771548415364
ACADS	-0.172089830961771	0.905689969855672	-0.623767729483068	0.000966118786331086	TRUE	0.905689969855672
ACADSB	-1.02223725197127	0.425632110787701	-0.273556903815791	0.00581572693518819	TRUE	0.425632110787701
ACADVL	0.641190078315452	0.375275591397095	1.28243913985507	0.00000000000000000000000000000192764449628902	TRUE	0.375275591397095
ACAP1	0.319226932140734	0.744273870178574	-1.21613877813965	0.000000000000000000000000000126192555132328	FALSE	0.744273870178574
ACAP2	0.862226521108522	0.320270691155867	-0.580224461873015	0.0000000000000000000000237048663552541	FALSE	0.320270691155867
ACAP3	-0.754043123620371	0.477776571196952	-0.61230000936028	0.0147495433543933	TRUE	0.477776571196952
ACAT1	0.0629463213553798	0.954665864406767	-1.05803387822963	0.00000151366555893696	FALSE	0.954665864406767
ACAT2	0.181312559652228	0.860548601414836	0.38983041910968	0.0505288273199257	TRUE	0.860548601414836
ACBD3	0.564331343671414	0.677818048404747	1.27716724101668	0.0000000217131356949496	TRUE	0.677818048404747
ACBD4	-0.25284792655641	0.678037327982659	-1.37498367829074	0.0000000000747611005895018	TRUE	0.678037327982659
ACBD5	0.548011715018008	0.754602652323774	-0.0556104993740885	0.715428014436502	FALSE	0.754602652323774
ACBD6	-0.0461719472776778	0.953337777383534	-0.218370757733619	0.0982524815706199	TRUE	0.953337777383534
ACCS	0.110426440519186	0.955817963870632	-1.16145619491478	0.000000109659230178339	FALSE	0.955817963870632
ACD	-0.0354677690313405	0.971948481364705	-0.345668092723315	0.00557619980642976	TRUE	0.971948481364705
ACER3	0.128839979098181	0.94974317896084	0.130963378535163	0.425558804309499	TRUE	0.94974317896084
ACIN1	0.0597373881208601	0.957322776292493	0.134981551980299	0.0440759662355516	TRUE	0.957322776292493
ACLY	0.464341532857771	0.754718405696824	-0.775841940098028	0.00000000407588800693335	FALSE	0.754718405696824
ACO1	0.0573015990184231	0.971791457075903	-1.50021313071857	0.0000000000467522415381687	FALSE	0.971791457075903
ACO2	0.00812815640891529	0.997384809114884	-0.174761641842514	0.268785310559174	FALSE	0.997384809114884
ACOT11	-0.529536208153061	0.42713901394579	0.398678988860041	0.137749926623835	FALSE	0.42713901394579
ACOT13	0.294133980454013	0.844095919603941	0.292003490308791	0.00717653248285039	TRUE	0.844095919603941
ACOT2	-0.496808400318177	0.713572765494911	1.27082911870189	0.00000000244670406497605	FALSE	0.713572765494911
ACOT8	0.00596950283110598	0.997584732677652	-1.30837519290377	0.00000000000000230438270269725	FALSE	0.997584732677652
ACOT9	1.1889238612638	0.260432181671298	0.866794323229473	0.000000000000000000000103691101354745	TRUE	0.260432181671298
ACOX1	0.083009295832837	0.961438025757776	-1.18220191704896	0.00000000000000000000000000000000000715353876500318	FALSE	0.961438025757776
ACOX2	0.0519553502605827	0.947234789842643	0.903691983476961	0.0000986674052989338	TRUE	0.947234789842643
