gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	direction	significance
VGLL3	2.3052856971199	3.6734681830889	14.5516184303213	0.00000000668817966515064	0.000148263566817059	7.54960877065638	up_in_PH	up_in_PH
KPNA4	1.50735156033404	4.27636164795539	7.25681881580677	0.000010993662947154	0.0862732649651938	3.15457234215818	up_in_PH	not_FDR_significant
METTL14	-1.79041223715247	5.94425045385893	-7.19348634607261	0.0000119781897860273	0.0862732649651938	3.09054405986572	down_in_PH	not_FDR_significant
N4BP2L1	-1.50328408865	6.49944456326995	-6.82967932771721	0.0000197975454712847	0.0862732649651938	2.71034416917645	down_in_PH	not_FDR_significant
GPAT3	3.85645868089446	5.15760382172076	6.80009786882109	0.0000214658003800495	0.0862732649651938	2.64569329658288	up_in_PH	not_FDR_significant
ZNF341	-0.940491305265506	3.79672267920212	-6.41595493230596	0.0000357960398651751	0.0862732649651938	2.25146967262584	down_in_PH	not_FDR_significant
DNAJA4	2.4322270957896	6.35238380892702	6.34717283067059	0.0000396036025637379	0.0862732649651938	2.1720318040794	up_in_PH	not_FDR_significant
ZNF540	-2.20729844300926	6.00373027597556	-6.31782097899664	0.0000413501392267839	0.0862732649651938	2.13802931634595	down_in_PH	not_FDR_significant
SLC2A14	2.37248674140073	6.07992657615969	6.31099016138838	0.0000417682230378002	0.0862732649651938	2.13009482688123	up_in_PH	not_FDR_significant
SLC2A3	2.37248674140073	6.07992657615969	6.31099016138838	0.0000417682230378002	0.0862732649651938	2.13009482688123	up_in_PH	not_FDR_significant
BCAT1	3.25440041287265	4.31337747621948	6.22860805537446	0.0000488065723389119	0.0862732649651938	2.00583849364875	up_in_PH	not_FDR_significant
SMAGP	0.897902823169749	3.36717774787215	6.17098838469064	0.0000514044109896189	0.0862732649651938	1.96568714391245	up_in_PH	not_FDR_significant
ARHGAP18	1.90205274060413	4.39461818005261	6.17180029833323	0.0000517754600039929	0.0862732649651938	1.9597369561848	up_in_PH	not_FDR_significant
RAB8B	1.84801776189066	4.11968843713468	6.12711405574777	0.0000558231201759164	0.0862732649651938	1.89961150807383	up_in_PH	not_FDR_significant
BAG5	-1.43871296663691	5.9870381623761	-6.08583694217675	0.0000583768934715765	0.0862732649651938	1.86432600266229	down_in_PH	not_FDR_significant
SPHK1	1.95797944682623	5.95606928419772	5.95429157648202	0.000071253214674418	0.0930806102249882	1.70452924379094	up_in_PH	not_FDR_significant
PTP4A1	2.31111295515522	5.72661763528875	5.94375295721547	0.0000724693843321815	0.0930806102249882	1.69089872443079	up_in_PH	not_FDR_significant
SLFN11	0.775216466682535	3.20941027514553	5.88580780620768	0.000079116785317878	0.0930806102249882	1.62015345022832	up_in_PH	not_FDR_significant
FGFR1OP2	2.7240183746011	5.9432375455138	5.88731912362172	0.000079778581481179	0.0930806102249882	1.61334122298843	up_in_PH	not_FDR_significant
PWWP3B	-2.42388993273912	6.08434330310053	-5.8404763725559	0.0000850476599449772	0.0942668262830128	1.5617004332864	down_in_PH	not_FDR_significant
RASSF3	2.0839292746729	6.59408774490088	5.76358932756307	0.0000955058967504981	0.100817843769764	1.46765438569924	up_in_PH	not_FDR_significant
LINC02035	-1.55449196467493	7.01342869808965	-5.67040347552988	0.000110366034071629	0.104167968123796	1.34985923057455	down_in_PH	not_FDR_significant
JARID2	2.18133695909714	3.87016031754225	5.68566875201361	0.000110991722454504	0.104167968123796	1.34543916442498	up_in_PH	not_FDR_significant
SEC14L1	1.73886608692373	6.69561037767324	5.65658083654476	0.000112776580429949	0.104167968123796	1.33221234918625	up_in_PH	not_FDR_significant
